feature,f_score,p_value
concave points_worst,964.385393451702,1.9690997072170274e-124
perimeter_worst,897.9442188597823,5.771397139667544e-119
concave points_mean,861.6760200073066,7.101150161059154e-116
radius_worst,860.7817069850548,8.48229192168596e-116
perimeter_mean,697.2352724765242,8.436251036176348e-101
area_worst,661.6002055336265,2.8288477042872213e-97
radius_mean,646.981020978646,8.465940572261895e-96
area_mean,573.0607465682338,4.7345643103086664e-88
concavity_mean,533.7931262035477,9.966555755074888e-84
concavity_worst,436.6919394030521,2.464663956782974e-72
compactness_mean,313.2330785676427,3.9382631058865496e-56
compactness_worst,304.3410629037623,7.069816352538099e-55
radius_se,268.84032696734374,9.738948656462521e-50
perimeter_se,253.89739178268084,1.651905175849958e-47
area_se,243.65158577774136,5.895521392606211e-46
texture_worst,149.5969046860518,1.0780574879493716e-30
smoothness_worst,122.47288045844445,6.575143633985019e-26
symmetry_worst,118.86023213619762,2.9511205771542106e-25
texture_mean,118.0960593449797,4.058636047898441e-25
concave points_se,113.2627599449242,3.072308768818344e-24
smoothness_mean,83.65112340842512,1.051850359203376e-18
symmetry_mean,69.52744350046244,5.73338402846732e-16
fractal_dimension_worst,66.4439606496003,2.31643244998312e-15
compactness_se,53.24733912812037,9.975994654075776e-13
concavity_se,39.014481556847464,8.260176167970819e-10
fractal_dimension_se,3.46827475704247,0.06307355082240175
smoothness_se,2.5579678031857878,0.11029660865790443
fractal_dimension_mean,0.09345929487492248,0.7599368037255626
texture_se,0.039094702312853835,0.8433320287670788
symmetry_se,0.024117406686684856,0.8766418183857136
